Captura,Web,Evento,Titulo,Categoria,Novedad,Ubicación,Localidad,Precio,Descuento,Fechas,Fecha_inicio,Fecha_fin,Duracion,Idioma,Publico,Puntuación,Valoración,Opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,2 sombreros  para no pensar,Monólogos,,Sala Ars Teatre,Barcelona,"10,50","3,50",11 abr al 25 abr,2019/04/11,2019/04/25,70 minutos /castellano,Español,Adultos,9.6,Extraordinario,30 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Girasoles,Teatro,,Artespacio Plot Point - Sala K,Madrid,7,3,28 abr al 26 may,2019/04/28,2019/05/26,40 minutos,,Infantil,8.8,Excelente,29 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Flores de España,Teatro,,Teatro Lagrada,Madrid,13,2,,2019/04/07,2019/04/07,65 minutos,Español,Adultos,10,Extraordinario,2 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La magia de mis juguetes,Teatro,,OFF de La Latina,Madrid,6,5,13 abr al 27 abr,2019/04/13,2019/04/27,1 hora,Español,Familiar,9.0,Extraordinario,108 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Danza india y Bollywood con Hemant Devara - IV Tandava Show,Danza,,Sala Calassanç,Barcelona,10,2,,2019/04/26,2019/04/26,60 minutos,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Flamenco Barcelona,Danza,,Barcelona City Hall,Barcelona,10,,07 abr al 30 jun,2019/04/07,2019/06/30,60 minutos,,Para todas las edades,7.8,Bueno,53 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Maru Candel - Todo pasa por algo, amor",Monólogos,,Beer Station,Madrid,10,4,13 abr al 27 abr,2019/04/13,2019/04/27,75 min,,Adultos,9.3,Extraordinario,586 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Magia Majara, Pata de Cabra",Magia,,Arlequín Gran Vía Teatro,Madrid,9,,14 abr al 28 abr,2019/04/14,2019/04/28,NA,,Familiar,8.0,Muy bueno,9 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Cuadro Flamenco Las Tablas - Cena + Espectáculo,Espectáculo,,Las Tablas,Madrid,49,10,07 abr al 30 abr,2019/04/07,2019/04/30,1 hora,castellano,Adultos,9.0,Extraordinario,38 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Eva y Adán,Teatro,,Teatreneu,Barcelona,14,10,13 abr al 27 abr,2019/04/13,2019/04/27,70 minutos,"Español, Catalán",Adultos,9.6,Extraordinario,6 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La gran aventura de la tortuga Gali,Teatro,,Sala de Teatro Bululú,Madrid,7,1,07 abr al 28 abr,2019/04/07,2019/04/28,60 minutos,Español,Infantil,10,Extraordinario,3 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Faemino y Cansado - Quien tuvo y retuvo, en Vilanova i la Geltrú",Monólogos,,La Daurada Beach Club,Vilanova i la Geltrú,20,,,2019/04/13,2019/04/13,90 minutos,Castellano,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Desamparadas,Comedia,,Teatro de las Aguas,Madrid,12,2,13 abr al 27 abr,2019/04/13,2019/04/27,NA,,Adultos,8.5,Excelente,225 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Jesús Manzano en Valencia,Monólogos,,Sala Girasol,Valencia,8,4,,2019/04/12,2019/04/12,NA,,Adultos,9.1,Extraordinario,171 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Kohlhaas,Teatro,,Teatro Guindalera,Madrid,12,2,07 abr al 28 abr,2019/04/07,2019/04/28,75 minutos,Español,Adultos,9.5,Extraordinario,101 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Sergio Lozano - Una mirada ilusionada,Magia,,Sala Carolina,Valencia,8,6,,2019/04/20,2019/04/20,80 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,La vida inventada de Godofredo Villa,Teatro,,Teatre Talia,Valencia,12,,,2019/04/07,2019/04/07,90 minutos,Castellano,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Magno el mentalista - ¿Estamos programados?,Mentalismo,,Teatreneu,Barcelona,12,10,12 abr al 31 may,2019/04/12,2019/05/31,60 minutos,Español,Adultos,9.2,Extraordinario,73 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Más allá de los sueños - Darío Piera,Mentalismo,,Teatre Talia,Valencia,10,3,27 abr al 25 may,2019/04/27,2019/05/25,90 minutos,Castellano,Adultos,7.5,Bueno,2 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La Bromerie Open Mic,Monólogos,,Abonavida,Madrid,3,2,07 abr al 26 may,2019/04/07,2019/05/26,1 hora y media,,Para todas las edades,,,
07/04/2019 17:00,Atrapalo,teatro-danza,La ruta de los espíritus,Teatro,,Iglesia San Francisco el Grande,Madrid,15,5,12 abr al 27 abr,2019/04/12,2019/04/27,75/85 minutos,,Adultos,8.6,Excelente,8 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Wit Wars,Impro,,Sala WIT Comedy Club,Madrid,4,1,26 abr al 10 may,2019/04/26,2019/05/10,NA,,Adultos,8.9,Excelente,32 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Carne fresca,Teatro,,OFF de La Latina,Madrid,6,8,12 abr al 26 abr,2019/04/12,2019/04/26,75 minutos,Español,Adultos,9.2,Extraordinario,68 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Luis Álvaro - Desorden puto vida mi un es,Monólogos,,Beer Station,Madrid,10,4,,2019/04/19,2019/04/19,1 hora y 30 minutos,,Adultos,8.9,Excelente,135 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Stand Up Yours,Monólogos,,Teatro de las Aguas,Madrid,6,4,13 abr al 27 abr,2019/04/13,2019/04/27,90 minutos,Inglés,Adultos,8.4,Muy bueno,17 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Tabula rasa / Viejas - Dansa València 2019,Danza,,Teatre Rialto,Valencia,"7,50","2,50",,2019/04/12,2019/04/12,NA,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"¡Ay Coño! Un monólogo de amor, humor y ovarios",Monólogos,,Teatreneu,Barcelona,"12,50","9,50",07 abr al 28 abr,2019/04/07,2019/04/28,70 minutos,Español,Adultos,8.5,Excelente,24 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Dos Nuevos Entremeses, Nunca Representados",Teatro,,Teatro de la Abadía,Madrid,17,,07 abr al 13 abr,2019/04/07,2019/04/13,80 minutos,Español,Para todas las edades,8.8,Excelente,5 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,El Pecado de Eva - Eva Soriano,Comedia,,Club Capitol Sala 2,Barcelona,15,3,03 may al 05 may,2019/05/03,2019/05/05,NA,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Cinco horas con Mario,Teatro,,Teatro Bellas Artes,Madrid,15,,04 jul al 01 sep,2019/07/04,2019/09/01,80 minutos,Castellano,Adultos,9.5,Extraordinario,169 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Burbuja,Teatro,,Gran Teatro Bankia Príncipe Pío,Madrid,"10,80","1,20",,2019/04/14,2019/04/14,75 minutos,Español,Para todas las edades,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"Wake Up, Woman",Teatro,,Sala Nueve Norte ,Madrid,12,6,13 abr al 27 abr,2019/04/13,2019/04/27,NA,,Para todas las edades,10,Extraordinario,8 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Brújulo y Raymon - Espectáculo para adultos,Magia,,La Cripta Mágica,Madrid,12,5,12 abr al 27 abr,2019/04/12,2019/04/27,1 hora (show) + 1 hora (descanso y animaciones),Español,Adultos,8.5,Excelente,45 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Dominus domina,Teatro,,Teatro de las Aguas,Madrid,12,2,12 abr al 26 abr,2019/04/12,2019/04/26,70 minutos,Español,Adultos,9.0,Extraordinario,140 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,El sueño de una noche de verano,Teatro,,Teatro de las Aguas,Madrid,12,2,07 abr al 28 abr,2019/04/07,2019/04/28,80 minutos,Español,Para todas las edades,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Extafadas,Comedia,,Teatro Lara - Sala Lola Membrives,Madrid,12,4,13 abr al 09 oct,2019/04/13,2019/10/09,70 minutos,Español,Adultos,8.3,Muy bueno,25 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Ilustres Ignorantes, en Barcelona",Teatro,,Teatro Borrás,Barcelona,20,,,2019/06/02,2019/06/02,90 minutos,Castellano,Adultos,8.0,Muy bueno,299 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La Golfa de Jamming,Impro,,Teatro Maravillas,Madrid,14,4,26 abr al 28 jun,2019/04/26,2019/06/28,90 minutos,Español,Adultos,8.9,Excelente,1245 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La hora de la verdad,Comedia,,Teatreneu,Barcelona,14,10,13 abr al 25 may,2019/04/13,2019/05/25,70 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Neu,Teatro,,Sala Porta4,Barcelona,12,3,07 abr al 18 abr,2019/04/07,2019/04/18,70 minutos,Catalán,Adultos,10,Extraordinario,2 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Show experience lunar,Teatro,,El Corral de Lope,Madrid,10,4,07 abr al 28 abr,2019/04/07,2019/04/28,90 minutos,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Vientos de Levante,Teatro,,Sala Cuarta Pared,Madrid,12,2,11 abr al 27 abr,2019/04/11,2019/04/27,80 minutos,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"Yo, nunca",Teatro,,Sala Intemperie Teatro,Madrid,10,4,18 abr al 09 may,2019/04/18,2019/05/09,80 minutos sin descanso,Español,Adultos,9.5,Extraordinario,16 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Comikazes ,Monólogos,,Beer Station,Madrid,9,5,09 abr al 23 abr,2019/04/09,2019/04/23,90 minutos,Español,Adultos,9.2,Extraordinario,207 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Pinocho ,Teatro,,Teatro Sanpol,Madrid,"11,50","2,50",27 abr al 19 may,2019/04/27,2019/05/19,75 minutos,Español,Familiar,8.6,Excelente,76 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Juntos,Teatro,,Teatro Amaya,Madrid,16,,28 ago al 26 oct,2019/08/28,2019/10/26,90 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"Malasañero para principantes, de Manu Kas",Monólogos,,Teatro de las Aguas,Madrid,8,4,07 abr al 28 abr,2019/04/07,2019/04/28,NA,,Adultos,9.2,Extraordinario,14 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Espectáculo de ópera y zarzuela,Zarzuela,,El Rincón de La Rodríguez,Madrid,29,,12 abr al 28 dic,2019/04/12,2019/12/28,2 horas,Español,Adultos,9.1,Extraordinario,46 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Brujas,Teatro,,Almazen,Barcelona,11,1,,2019/05/18,2019/05/18,65 minutos,Español,Adultos,8.8,Excelente,141 opiniones
